PayloadSize;SF7;SF8;SF9;SF10;SF11;SF12
1;0.041216;0.072192;0.144384;0.288768;0.495616;0.991
21;0.071936;0.123392;0.226304;0.452608;0.823296;1.48275
41;0.097536;0.174592;0.328704;0.616448;1.15098;2.13811
59;0.128256;0.225792;0.410624;0.739328;1.39674;2.62963
81;0.158976;0.276992;0.513024;;;
101;0.184576;0.328192;0.594944;;;
121;0.215296;0.379392;0.697344;;;
141;0.246016;0.430592;;;;
161;0.276736;0.481792;;;;
181;0.302336;0.532992;;;;
201;0.333056;0.584192;;;;
221;0.363776;0.635392;;;;
230;0.374016;0.666112;;;;
