PayloadSize;SF7;SF8;SF9;SF10;SF11;SF12
1;0.041216;0.072192;0.144384;0.288768;0.495616;0.991
11;0.056576;0.102912;0.185344;0.370688;0.659456;1.155
21;0.071936;0.123392;0.226304;0.452608;0.823296;1.48275
31;0.082176;0.154112;0.287744;0.534528;0.987136;1.81043
41;0.097536;0.174592;0.328704;0.616448;1.15098;2.13811
51;0.112896;0.205312;0.369664;0.698368;1.2329;2.30195
61;0.128256;0.225792;0.410624;0.739328;1.39674;2.62963
71;0.143616;0.256512;0.451584;;;
81;0.158976;0.276992;0.513024;;;
91;0.174336;0.307712;0.553984;;;
101;0.184576;0.328192;0.594944;;;
111;0.199936;0.358912;0.635904;;;
121;0.215296;0.379392;0.697344;;;
131;0.230656;0.410112;;;;
141;0.246016;0.430592;;;;
151;0.261376;0.461312;;;;
161;0.276736;0.481792;;;;
171;0.286976;0.512512;;;;
181;0.302336;0.532992;;;;
191;0.317696;0.563712;;;;
201;0.333056;0.584192;;;;
211;0.348416;0.614912;;;;
221;0.363776;0.635392;;;;
230;0.374016;0.666112;;;;
