;144S-SF7;144S-SF9;360S-SF7;360S-SF9;3600S-SF7;3600S-SF9
1;0,000269;0,000448;0,000302;0,000482;0,000784;0,000963
1000;0,000384;0,000718;0,000336;0,000587;;
2000;0,000448;0,001308;0,000378;0,00079;;
3000;0,0006;0,001965;0,00042;0,000876;;
4000;0,0007;0,003;0,000458;0,001046;;
5000;0,0009;0,005335;0,000503;0,001234;;
6000;0,0014;0,013;0,0005;0,0015;;
7000;0,0016;;0,000616;0,00185;;
8000;;;0,000682;0,0022;;
9000;;;0,000774;0,0028;;
10000;;;0,000839;0,0034;0,000865;0,001175
20000;;;;;0,001;0,001638
30000;;;;;0,001148;0,0019
40000;;;;;0,00133;0,002447
50000;;;;;0,00133;0,0032
