Nsta;144S-SF7;144S-SF9;360S-SF7;360S-SF9;600S-SF7;600S-SF9
1;100;100;100;100;100.0;100.0
1000;77.51048951;62.4599401;90.15584416;82.58141858;95.93739593739595;91.44189144189144
2000;60.03638181;38.0521739;80.85157421;68.47076462;90.98783941362653;83.16674995835416
3000;45.15281573;23.1946684;72.62512496;55.27290903;87.05431522825725;75.54703987559702
4000;36;14.68;66.78580355;46.91502124;84.4288927768058;70.8197950512372
5000;27.74;8.7;60.72725455;39.05758848;81.05712190895154;65.14697060587883
6000;21.23;5.19;53.98;32.07;77.82314058767983;59.63172804532578
7000;16.43;;49.35;26.27;73.62519640051421;53.53520925582059
8000;;;44.21;21.53;71.68895554722326;50.649918760154975
9000;;;39.96;17.55;67.77395104247677;45.37458800873977
10000;;;36.05;14.49;64.43833333333333;41.73833333333333
11000;;;;;61.76060606060606;37.71515151515151
12000;;;;;59.00555555555555;34.79027777777778
13000;;;;;56.71025641025641;31.548717948717947
14000;;;;;54.36904761904762;29.353571428571428
15000;;;;;52.016666666666666;26.385555555555555
