;144S-SF7;144S-SF9;360S-SF7;360S-SF9;3600S-SF7;3600S-SF7
1;100;100;100;100;100;100
1000;77,51048951;62,4599401;90,15584416;82,58141858;;
2000;60,03638181;38,0521739;80,85157421;68,47076462;;
3000;45,15281573;23,1946684;72,62512496;55,27290903;;
4000;36;14,68;66,78580355;46,91502124;;
5000;27,74;8,7;60,72725455;39,05758848;;
6000;21,23;5,19;53,98;32,07;;
7000;16,43;;49,35;26,27;;
8000;;;44,21;21,53;;
9000;;;39,96;17,55;;
10000;;;36,05;14,49;90,73092691;83,09269073
20000;;;;;81,8459077;68,59457027
30000;;;;;73,97;56,9
40000;;;;;66,52;46,61
50000;;;;;60,24;38,66
